AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
135,103,124,6,0.9,45,27
135,103,132,10,1,57,22
105,79,102,6,1,57,56
118,89,119,8,1.1,67,16
129,98,124,6,0.9,52,18
120,91,116,8,1.2,61,17
78,57,85,7,1,53,71
103,76,117,8,1.2,85,30
90,67,91,7,1,48,26
53,35,55,7,1.1,39,37
68,48,70,6,1.2,54,69
97,72,97,9,1.4,58,82
102,76,97,13,1.2,54,24
129,98,131,7,1.3,56,14
68,49,60,5,0.9,29,16
58,41,50,5,0.9,33,49
87,64,85,6,1,48,16
100,75,97,6,1.1,45,33
74,54,68,5,0.9,39,82
104,78,100,7,1,48,70
120,91,111,7,0.9,37,68
140,107,124,7,1,42,63
156,119,134,6,1.1,41,33
78,57,65,6,0.8,17,75
68,49,53,7,0.8,14,92
57,40,45,6,0.8,15,58
54,38,43,7,0.8,14,49
68,49,54,6,0.9,22,43
62,44,49,5,0.9,22,75
65,47,54,6,0.8,21,65
60,43,48,5,0.7,16,56
58,41,46,5,0.7,14,38
54,38,42,5,0.6,20,63
46,32,38,5,0.5,17,78
50,35,40,5,0.6,16,76
79,58,66,6,0.7,17,56
43,30,34,5,0.6,13,80
62,44,49,5,0.7,13,47
70,51,59,7,0.9,21,50
55,39,47,6,0.8,13,82
49,34,41,6,0.7,15,82
73,53,60,6,0.8,15,90
113,85,99,7,1,24,86
115,87,96,7,0.9,21,96
77,56,76,6,0.7,16,76
76,24,101,5,0.4,8,71
60,25,69,5,0.5,13,89
61,39,72,8,0.5,20,75
68,49,79,9,0.6,21,83
62,44,61,6,0.6,15,92
68,49,61,6,0.6,16,74
58,36,65,5,0.5,22,88
83,61,88,6,0.7,31,50
108,81,107,7,0.8,36,55
110,83,108,7,0.8,38,95
109,82,105,7,0.8,39,109
114,86,110,7,0.9,44,103
138,105,125,6,1,34,54
38,17,22,6,0.8,29,76
69,31,45,7,0.8,39,122
60,41,70,8,0.7,35,63
34,17,34,5,0.6,18,67
38,22,38,6,0.5,29,69
42,24,41,6,0.5,30,83
60,43,64,7,0.6,29,62
72,52,68,7,0.6,30,65
77,56,78,8,0.6,34,100
84,62,89,11,0.7,38,72
64,28,77,7,0.5,31,60
55,22,60,6,0.4,27,75
63,35,75,7,0.5,29,92
80,59,105,8,0.6,42,76
88,63,125,8,0.7,50,71
89,45,128,9,0.7,62,49
87,55,123,10,0.8,56,50
51,28,52,6,0.6,29,58
54,23,46,6,0.6,43,98
88,46,88,9,0.7,70,89
66,28,58,9,0.5,44,119
84,48,93,11,0.7,65,140
98,52,98,12,0.7,53,157
57,38,64,6,0.7,42,106
92,51,104,10,0.8,59,150
102,76,132,10,0.8,61,141
100,75,110,8,0.9,44,155
95,71,132,9,0.8,41,86
43,16,38,5,0.5,18,86
29,10,19,5,0.6,20,57
34,12,21,5,0.6,23,67
44,21,38,5,0.6,35,44
48,24,36,5,0.6,31,96
48,31,48,6,0.6,33,81
48,30,48,6,0.6,28,52
25,8,13,4,0.6,20,47
42,20,28,5,0.6,26,83
52,35,53,5,0.6,36,83
72,52,78,5,0.8,47,41
100,75,105,6,0.9,46,84
72,43,62,7,0.7,41,126
79,40,68,7,0.8,49,134
77,33,54,6,0.6,25,132
63,32,76,5,0.6,35,108
85,44,119,7,0.7,55,109
60,41,69,4,0.6,33,79
73,48,71,4,0.7,44,127
104,78,119,7,1.1,73,129
124,94,136,9,0.9,66,159
67,43,84,6,0.6,51,104
73,19,45,5,0.5,22,127
50,28,50,5,0.6,36,56
54,33,57,6,0.7,40,87
41,18,33,4,0.4,26,82
41,15,31,5,0.4,25,81
51,22,39,8,0.4,27,101
70,31,51,5,0.4,36,123
90,35,63,6,0.6,54,147
100,42,70,9,0.6,57,159
100,39,76,6,0.7,68,160
123,44,86,7,0.8,76,185
107,59,115,9,0.9,93,103
116,42,67,6,0.6,36,177
143,62,87,7,0.7,45,207
151,55,91,8,0.8,67,216
156,57,98,8,0.9,70,221
138,56,96,11,0.8,46,201
104,56,91,7,0.7,44,164
153,54,86,6,0.7,39,218
36,21,32,5,0.6,21,71
75,14,32,6,0.5,27,130
51,19,51,4,0.4,23,85
94,17,40,6,0.4,29,152
82,42,113,5,0.5,35,88
87,56,123,6,0.6,67,43
117,65,136,8,0.6,55,178
117,72,109,4,0.6,35,178
146,69,108,5,0.6,36,210
123,64,100,6,0.6,39,185
97,13,37,4,0.4,33,156
119,33,75,8,0.5,51,180
136,42,86,8,0.5,42,199
65,43,72,5,0.6,22,118
51,33,52,4,0.6,36,68
73,24,55,6,0.6,48,127
181,52,93,7,0.7,56,246
39,15,31,4,0.4,19,78
42,20,33,5,0.5,33,81
65,43,71,7,0.8,52,69
63,17,33,5,0.5,32,115
77,21,41,8,0.5,32,132
109,31,55,7,0.5,41,169
